"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
"1","1",1,109,23,1.895,">43"
"2","1",1,120,21,1.811,"40-43"
"3","1",1,94,20,1.768,"40-43"
"4","1",1,61,10,1.389,"30-34"
"5","1",1,72,18,1.726,"40-43"
"6","1",1,134,24,1.937,">43"
"7","1",1,94,21,1.811,"40-43"
"8","1",1,113,20,1.768,"40-43"
"9","1",1,111,20,1.768,"40-43"
"10","1",1,106,21,1.811,"40-43"
"11","1",1,107,24,1.937,">43"
"12","1",1,96,20,1.768,"40-43"
"13","1",1,53,10,1.389,"30-34"
"14","1",1,121,22,1.853,">43"
"15","1",1,85,22,1.853,">43"
"16","1",1,115,23,1.895,">43"
"17","1",1,109,24,1.937,">43"
"18","1",1,105,16,1.642,"35-39"
"19","1",1,93,16,1.642,"35-39"
"20","1",1,103,20,1.768,"40-43"
"21","1",1,110,22,1.853,">43"
"22","1",1,94,17,1.684,"40-43"
"23","1",4,91,20,1.768,"40-43"
"24","1",4,161,24,1.937,">43"
"25","1",4,44,5,1.179,"<30"
"26","1",4,87,17,1.684,"40-43"
"27","1",4,107,24,1.937,">43"
"28","1",4,107,18,1.726,"40-43"
"29","1",4,86,17,1.684,"40-43"
"30","1",4,91,15,1.6,"35-39"
"31","1",4,156,21,1.811,"40-43"
"32","1",4,95,21,1.811,"40-43"
"33","1",4,95,20,1.768,"40-43"
"34","1",4,98,20,1.768,"40-43"
"35","1",4,72,14,1.558,"35-39"
"36","1",4,76,16,1.642,"35-39"
"37","1",4,154,21,1.811,"40-43"
"38","1",4,34,5,1.179,"<30"
"39","1",4,125,25,1.979,">43"
"40","1",4,51,9,1.347,"30-34"
"41","1",4,83,16,1.642,"35-39"
"42","1",4,36,6,1.221,"<30"
"43","1",4,105,20,1.768,"40-43"
"44","1",4,63,13,1.516,"35-39"
"45","1",4,49,10,1.389,"30-34"
"46","1",4,91,20,1.768,"40-43"
"47","1",4,104,21,1.811,"40-43"
"48","1",4,93,23,1.895,">43"
"49","1",4,84,21,1.811,"40-43"
"50","1",4,95,21,1.811,"40-43"
"51","1",4,80,15,1.6,"35-39"
"52","1",4,74,16,1.642,"35-39"
"53","1",4,96,21,1.811,"40-43"
"54","1",4,149,22,1.853,">43"
"55","1",4,107,22,1.853,">43"
"56","1",4,98,20,1.768,"40-43"
"57","1",4,110,24,1.937,">43"
"58","1",7,115,23,1.895,">43"
"59","1",7,107,18,1.726,"40-43"
"60","1",7,105,20,1.768,"40-43"
"61","1",7,96,21,1.811,"40-43"
"62","1",7,70,14,1.558,"35-39"
"63","1",7,96,20,1.768,"40-43"
"64","1",7,127,21,1.811,"40-43"
"65","1",7,131,23,1.895,">43"
"66","1",7,104,17,1.684,"40-43"
"67","1",7,126,24,1.937,">43"
"68","1",7,83,20,1.768,"40-43"
